ID,HOUR,DRY_BULB_T,DAMP,HORI_TOTAL_RAD,HORI_SCATTER_RAD,T_GROUND,T_SKY,WS,WD,B
1,0,-5.079999924,1.600000024,0,0,-6.099999905,244.25,0,0,101540
1,1,-5.190000057,1.710000038,0,0,-7.599999905,242.5899963,0,0,101540
1,2,-5.400000095,1.789999962,0,0,-9.399999619,240.5899963,1,11,101540
1,3,-5.789999962,1.830000043,0,0,-11.21000004,238.5700073,0,0,101540
1,4,-6.289999962,1.820000052,0,0,-12.76000023,236.8500061,0,0,101540
1,5,-6.78000021,1.779999971,0,0,-13.77000046,235.7599945,0,0,101540
1,6,-7.150000095,1.720000029,0,0,-13.94999981,235.6000061,0,0,101540
1,7,-7.300000191,1.649999976,0,0,-13.02000046,236.6900024,0,0,101540
1,8,-6.5,1.649999976,37.59000015,15.35999966,-10.69999981,239.2299957,3,12,101540
1,9,-4.489999771,1.74000001,147.9199982,60.43999863,-6.880000114,243.3000031,0,0,101540
1,10,-1.769999981,1.860000014,256.5400085,104.8199997,-2.079999924,248.3200073,0,0,101540
1,11,1.169999957,1.919999957,339.6700134,138.7899933,2.980000019,253.5299988,0,0,101540
1,12,3.869999886,1.830000043,222.3800049,222.3800049,7.610000134,258.1799927,0,0,101540
1,13,5.840000153,1.639999986,364.3900146,148.8899994,11.11999989,261.6199951,0,0,101540
1,14,6.599999905,1.450000048,371.2399902,106.1200027,12.80000019,263.230011,4,9,101540
1,15,6.239999771,1.409999967,200.9900055,82.12999725,12.18000031,262.5599976,0,0,101540
1,16,5.300000191,1.50999999,109.2900009,31.23999977,9.699999809,260,0,0,101540
1,17,3.960000038,1.679999948,0,0,6.03000021,256.2000122,0,0,101540
1,18,2.440000057,1.840000033,0,0,1.820000052,251.8000031,0,0,101540
1,19,0.920000017,1.960000038,0,0,-2.24000001,247.5099945,0,0,101540
1,20,-0.400000006,2,0,0,-5.5,244.0299988,1,8,101540
1,21,-1.370000005,2.00999999,0,0,-7.460000038,241.9799957,0,0,101540
1,22,-2.039999962,2.00999999,0,0,-8.319999695,241.1399994,0,0,101540
1,23,-2.50999999,2.019999981,0,0,-8.449999809,241.1199951,0,0,101540
1,24,-2.880000114,2.029999971,0,0,-8.210000038,239.9499969,0,0,101490
1,25,-3.24000001,2.049999952,0,0,-7.96999979,240.3600006,0,0,101490
1,26,-3.700000048,2.069999933,0,0,-8.100000381,240.3600006,0,0,101490
1,27,-4.309999943,2.089999914,0,0,-8.840000153,239.6600037,0,0,101490
1,28,-5,2.099999905,0,0,-9.920000076,238.5599976,0,0,101490
1,29,-5.639999866,2.099999905,0,0,-10.94999981,237.5099945,0,0,101490
1,30,-6.119999886,2.079999924,0,0,-11.52000046,236.9499969,0,0,101490
1,31,-6.300000191,2.049999952,0,0,-11.22999954,237.3200073,0,0,101490
1,32,-5.599999905,2.089999914,43.86999893,19.79000092,-9.699999809,239,2,9,101490
1,33,-3.700000048,2.230000019,85.88999939,85.88999939,-6.690000057,242.1900024,0,0,101490
1,34,-1.019999981,2.400000095,295.7200012,133.3999939,-2.640000105,246.3899994,0,0,101490
1,35,1.970000029,2.480000019,196.7799988,196.7799988,1.809999943,250.9100037,0,0,101490
1,36,4.829999924,2.359999895,219.2799988,219.2799988,6.039999962,255.0599976,0,0,101490
1,37,7.090000153,2.079999924,419.730011,189.3500061,9.449999809,258.2600098,0,0,101490
1,38,8.300000191,1.769999981,346.1199951,156.1399994,11.39999962,259.980011,1,3,101490
1,39,8.399999619,1.610000014,231.8800049,104.5999985,11.46000004,259.8900146,0,0,101490
1,40,7.809999943,1.659999967,102.4000015,46.18999863,9.960000038,258.3099976,0,0,101490
1,41,6.380000114,1.779999971,0,0,7.380000114,255.7599945,0,0,101490
1,42,4.630000114,1.919999957,0,0,4.25,252.6399994,0,0,101490
1,43,3.069999933,2.049999952,0,0,1.049999952,249.3800049,0,0,101490
1,44,2.200000048,2.230000019,0,0,-1.700000048,246.4700012,1,10,101490
1,45,2.200000048,2.460000038,0,0,-3.619999886,244.3399963,0,0,101490
1,46,2.130000114,2.609999895,0,0,-4.769999981,243.0899963,0,0,101490
1,47,1.809999943,2.640000105,0,0,-5.340000153,242.5099945,0,0,101490
1,48,1.350000024,2.559999943,0,0,-5.519999981,239.3399963,0,0,102560
1,49,0.850000024,2.440000057,0,0,-5.46999979,239.4600067,0,0,102560
1,50,0.400000006,2.279999971,0,0,-5.400000095,239.5599976,2,11,102560
1,51,0.090000004,2.109999895,0,0,-5.429999828,239.4700012,0,0,102560
1,52,-0.109999999,1.899999976,0,0,-5.489999771,239.2400055,0,0,102560
1,53,-0.25,1.710000038,0,0,-5.46999979,239.1000061,0,0,102560
1,54,-0.379999995,1.5,0,0,-5.260000229,239.1600037,0,0,102560
1,55,-0.540000021,1.289999962,0,0,-4.739999771,239.6199951,0,0,102560
1,56,-0.800000012,1.080000043,44.41999817,13.23999977,-3.799999952,240.6199951,7,16,102560
1,57,-1.179999948,0.879999995,100.4199982,100.4199982,-2.390000105,242.25,0,0,102560
1,58,-1.629999995,0.709999979,295.4400024,88.08999634,-0.709999979,244.2400055,0,0,102560
1,59,-2.089999914,0.569999993,429.1199951,86.55999756,0.949999988,246.2299957,0,0,102560
1,60,-2.5,0.460000008,478.0799866,96.44000244,2.329999924,247.8800049,0,0,102560
1,61,-2.789999962,0.389999986,460.25,92.83999634,3.130000114,248.8300018,0,0,102560
1,62,-2.900000095,0.349999994,345.6799927,103.0699997,3.099999905,248.75,10,15,102560
1,63,-3.160000086,0.340000004,136.1999969,136.1999969,2.049999952,247.5200043,0,0,102560
1,64,-3.779999971,0.330000013,60.38999939,60.38999939,0.209999993,245.4499969,0,0,102560
1,65,-4.539999962,0.330000013,0,0,-2.079999924,242.8500061,0,0,102560
1,66,-5.190000057,0.330000013,0,0,-4.5,240.0399933,0,0,102560
1,67,-5.5,0.319999993,0,0,-6.71999979,237.3300018,0,0,102560
1,68,-5.400000095,0.310000002,0,0,-8.399999619,235.0899963,5,15,102560
1,69,-5.309999943,0.25999999,0,0,-9.319999695,233.7400055,0,0,102560
1,70,-5.360000134,0.200000003,0,0,-9.659999847,233.1199951,0,0,102560
1,71,-5.550000191,0.129999995,0,0,-9.699999809,232.8899994,0,0,102560
1,72,-5.920000076,0.07,0,0,-9.720000267,231.6000061,0,0,102520
1,73,-6.460000038,0.050000001,0,0,-9.989999771,231.3099976,0,0,102520
1,74,-7.199999809,0.059999999,0,0,-10.80000019,230.6499939,5,16,102520
1,75,-8.119999886,0.109999999,0,0,-12.30000019,229.3399963,0,0,102520
1,76,-9.100000381,0.180000007,0,0,-14.15999985,227.6000061,0,0,102520
1,77,-10,0.25,0,0,-15.88000011,225.9299927,0,0,102520
1,78,-10.65999985,0.310000002,0,0,-17.01000023,224.8999939,0,0,102520
1,79,-10.93999958,0.349999994,0,0,-17.07999992,225.0700073,0,0,102520
1,80,-10.69999981,0.389999986,52.49000168,5.139999866,-15.60000038,227,2,10,102520
1,81,-9.840000153,0.400000006,199.5899963,19.55999947,-12.31999969,230.9499969,0,0,102520
1,82,-8.460000038,0.389999986,344.2200012,33.74000168,-7.800000191,236.2100067,0,0,102520
1,83,-6.71999979,0.360000014,454.8200073,44.58000183,-2.789999962,241.8200073,0,0,102520
1,84,-4.800000191,0.319999993,506.5899963,49.65000153,1.919999957,246.9100037,0,0,102520
1,85,-2.839999914,0.25999999,487.7600098,47.79999924,5.570000172,250.6300049,0,0,102520
1,86,-1,0.239999995,402.6000061,39.45999908,7.400000095,252.1799927,6,11,102520
1,87,0.100000001,0.280000001,270.3900146,26.5,6.880000114,251.25,0,0,102520
1,88,-0.140000001,0.349999994,120.4199982,11.80000019,4.460000038,248.5,0,0,102520
1,89,-0.75,0.460000008,0,0,0.829999983,244.3800049,0,0,102520
1,90,-1.580000043,0.560000002,0,0,-3.309999943,239.6199951,0,0,102520
1,91,-2.480000019,0.639999986,0,0,-7.289999962,234.9900055,0,0,102520
1,92,-3.299999952,0.680000007,0,0,-10.39999962,231.3300018,2,9,102520
1,93,-3.930000067,0.680000007,0,0,-12.14000034,229.3099976,0,0,102520
1,94,-4.400000095,0.670000017,0,0,-12.72999954,228.7100067,0,0,102520
1,95,-4.78000021,0.649999976,0,0,-12.56999969,229.0399933,0,0,102520
1,96,-5.139999866,0.629999995,0,0,-12.06000042,230.8000031,0,0,101860
1,97,-5.559999943,0.629999995,0,0,-11.60000038,231.5599976,0,0,101860
1,98,-6.099999905,0.649999976,0,0,-11.60000038,231.8099976,0,0,101860
1,99,-6.800000191,0.689999998,0,0,-12.31000042,231.2400055,0,0,101860
1,100,-7.570000172,0.730000019,0,0,-13.43999958,230.1699982,0,0,101860
1,101,-8.279999733,0.769999981,0,0,-14.53999996,229.1000061,0,0,101860
1,102,-8.800000191,0.810000002,0,0,-15.18000031,228.5399933,0,0,101860
1,103,-9,0.829999983,0,0,-14.90999985,229,0,0,101860
1,104,-8.199999809,0.879999995,27.94000053,7.889999866,-13.30000019,230.8399963,1,10,101860
1,105,-6.510000229,0.930000007,104.8799973,29.62000084,-10.09000015,234.3800049,0,0,101860
1,106,-4.380000114,0.949999988,333.5499878,63.18000031,-5.75,239.1199951,0,0,101860
1,107,-2.089999914,0.910000026,440.3800049,83.41000366,-0.939999998,244.2599945,0,0,101860
1,108,0.090000004,0.800000012,490.3800049,92.87999725,3.670000076,249.0700073,0,0,101860
1,109,1.879999995,0.589999974,255.5200043,72.16000366,7.440000057,252.7799988,0,0,101860
1,110,3,0.370000005,389.9700012,73.86000061,9.699999809,254.7799988,6,16,101860
1,111,3.319999933,0.239999995,262.269989,49.68000031,9.989999771,254.6999969,0,0,101860
1,112,3.299999952,0.200000003,117.3399963,22.22999954,8.630000114,252.9100037,0,0,101860
1,113,3.160000086,0.230000004,0,0,6.130000114,249.9299927,0,0,101860
1,114,2.839999914,0.300000012,0,0,3.019999981,246.3200073,0,0,101860
1,115,2.440000057,0.379999995,0,0,-0.200000003,242.5599976,0,0,101860
1,116,2.099999905,0.439999998,0,0,-3,239.2200012,5,15,101860
1,117,1.889999986,0.460000008,0,0,-5,236.7599945,0,0,101860
1,118,1.75,0.460000008,0,0,-6.309999943,235.1000061,0,0,101860
1,119,1.559999943,0.449999988,0,0,-7.179999828,234,0,0,101860
1,120,1.210000038,0.439999998,0,0,-7.849999905,231.7700043,0,0,102360
1,121,0.589999974,0.460000008,0,0,-8.579999924,231.1300049,0,0,102360
1,122,-0.400000006,0.5,0,0,-9.600000381,230.3099976,3,15,102360
