Second,Time,Occupant_num
0,00:00:00,0
1,00:00:01,0
2,00:00:02,0
3,00:00:03,0
4,00:00:04,0
5,00:00:05,0
6,00:00:06,0
7,00:00:07,0
8,00:00:08,0
9,00:00:09,0
10,00:00:10,0
11,00:00:11,0
12,00:00:12,0
13,00:00:13,0
14,00:00:14,0
15,00:00:15,0
16,00:00:16,0
17,00:00:17,0
18,00:00:18,0
19,00:00:19,0
20,00:00:20,0
21,00:00:21,0
22,00:00:22,0
23,00:00:23,0
24,00:00:24,0
25,00:00:25,0
26,00:00:26,0
27,00:00:27,0
28,00:00:28,0
29,00:00:29,0
30,00:00:30,0
31,00:00:31,0
32,00:00:32,0
33,00:00:33,0
34,00:00:34,0
35,00:00:35,0
36,00:00:36,0
37,00:00:37,0
38,00:00:38,0
39,00:00:39,0
40,00:00:40,0
41,00:00:41,0
42,00:00:42,0
43,00:00:43,0
44,00:00:44,0
45,00:00:45,0
46,00:00:46,0
47,00:00:47,0
48,00:00:48,0
49,00:00:49,0
50,00:00:50,0
51,00:00:51,0
52,00:00:52,0
53,00:00:53,0
54,00:00:54,0
55,00:00:55,0
56,00:00:56,0
57,00:00:57,0
58,00:00:58,0
59,00:00:59,0
60,00:01:00,0
61,00:01:01,0
62,00:01:02,0
63,00:01:03,0
64,00:01:04,0
65,00:01:05,0
66,00:01:06,0
67,00:01:07,0
68,00:01:08,0
69,00:01:09,0
70,00:01:10,0
71,00:01:11,0
72,00:01:12,0
73,00:01:13,0
74,00:01:14,0
75,00:01:15,0
76,00:01:16,0
77,00:01:17,0
78,00:01:18,0
79,00:01:19,0
80,00:01:20,0
81,00:01:21,0
82,00:01:22,0
83,00:01:23,0
84,00:01:24,0
85,00:01:25,0
86,00:01:26,0
87,00:01:27,0
88,00:01:28,0
89,00:01:29,0
90,00:01:30,0
91,00:01:31,0
92,00:01:32,0
93,00:01:33,0
94,00:01:34,0
95,00:01:35,0
96,00:01:36,0
97,00:01:37,0
98,00:01:38,0
99,00:01:39,0
100,00:01:40,0
101,00:01:41,0
102,00:01:42,0
103,00:01:43,0
104,00:01:44,0
105,00:01:45,0
106,00:01:46,0
107,00:01:47,0
108,00:01:48,0
109,00:01:49,0
110,00:01:50,0
111,00:01:51,0
112,00:01:52,0
113,00:01:53,0
114,00:01:54,0
115,00:01:55,0
116,00:01:56,0
117,00:01:57,0
118,00:01:58,0
119,00:01:59,0
120,00:02:00,0
121,00:02:01,0
122,00:02:02,0
123,00:02:03,0
124,00:02:04,0
125,00:02:05,0
126,00:02:06,0
127,00:02:07,0
128,00:02:08,0
129,00:02:09,0
130,00:02:10,0
131,00:02:11,0
132,00:02:12,0
133,00:02:13,0
134,00:02:14,0
135,00:02:15,0
136,00:02:16,0
137,00:02:17,0
138,00:02:18,0
139,00:02:19,0
140,00:02:20,0
141,00:02:21,0
142,00:02:22,0
143,00:02:23,0
144,00:02:24,0
145,00:02:25,0
146,00:02:26,0
147,00:02:27,0
148,00:02:28,0
149,00:02:29,0
150,00:02:30,0
151,00:02:31,0
152,00:02:32,0
153,00:02:33,0
